CCTV-1高清,rtp://225.1.4.73:1102
重庆卫视高清,rtp://225.1.4.157:1308
广东卫视高清,rtp://225.1.4.166:1207
广西卫视,rtp://225.1.4.31:1060
河北卫视高清,rtp://225.1.4.123:1304
海南卫视,rtp://225.1.4.25:1054
吉林卫视高清,rtp://225.1.4.174:1309
山西卫视,rtp://225.1.4.38:1067
陕西卫视,rtp://225.1.4.39:1068
甘肃卫视,rtp://225.1.4.42:1071
宁夏卫视,rtp://225.1.4.43:1072
青海卫视,rtp://225.1.4.44:1073
内蒙古卫视,rtp://225.1.4.45:1074
西藏卫视,rtp://225.1.4.46:1075
新疆卫视,rtp://225.1.4.47:1076
卡酷动画,rtp://225.1.4.48:1077
金鹰卡通,rtp://225.1.4.49:1078
嘉佳卡通,rtp://225.1.4.92:1121
中国教育-1高清,rtp://225.1.4.173:1712
中国教育-4,rtp://225.1.4.171:1710
厦门卫视,rtp://225.1.4.95:1124
金鹰纪实高清,rtp://225.1.4.172:1711
兵团卫视,rtp://225.1.4.97:1126
中国教育-2,rtp://225.1.4.165:1206
爱上-4k,rtp://225.1.4.162:1204
山东教育,rtp://225.1.4.164:1205
三沙卫视,rtp://225.1.4.234:1280
海南卫视高清,rtp://225.1.4.195:1310
健康中原,rtp://225.1.5.48:1358
调解剧场,rtp://225.1.5.49:1359
体育竞技高清,rtp://225.1.4.235:1281
CHC家庭影院,rtp://225.1.4.209:1262
CHC动作电影,rtp://225.1.4.208:1261
CHC高清电影,rtp://225.1.4.207:1260
网络棋牌,rtp://225.1.4.211:1264
乒羽频道,rtp://225.1.4.210:1263
新动漫,rtp://225.1.4.212:1265
音乐现场,rtp://225.1.4.184:1224
爱生活,rtp://225.1.4.176:1225
好学生,rtp://225.1.4.177:1226
国学,rtp://225.1.4.178:1227
早教,rtp://225.1.4.179:1228
高网,rtp://225.1.4.180:1229
军事,rtp://225.1.4.181:1230
美妆,rtp://225.1.4.182:1231
地理,rtp://225.1.4.183:1232
经典电影,rtp://225.1.4.175:1233
精选,rtp://225.1.4.253:1299
足球,rtp://225.1.4.200:1250
IPTV谍战剧场,rtp://225.1.4.185:1240
IPTV相声小品,rtp://225.1.4.186:1235
IPTV野外,rtp://225.1.4.187:1236
IPTV法治,rtp://225.1.4.188:1237
少儿动画,rtp://225.1.4.189:1238
热播剧场,rtp://225.1.4.190:1239
魅力时尚,rtp://225.1.4.205:1253
爱综艺,rtp://225.1.4.204:1252
爱体育,rtp://225.1.4.5:1034
爱电影,rtp://225.1.4.6:1035
爱大剧,rtp://225.1.4.8:1037
收视指南,rtp://225.1.4.50:1079
CCTV-1,rtp://225.1.4.1:1030
CCTV-2,rtp://225.1.4.2:1031
CCTV-4,rtp://225.1.4.4:1033
CCTV-7,rtp://225.1.4.7:1036
CCTV-9,rtp://225.1.4.9:1038
CCTV-10,rtp://225.1.4.10:1039
CCTV-11,rtp://225.1.4.11:1040
CCTV-12,rtp://225.1.4.12:1041
CCTV-13,rtp://225.1.4.13:1042
CCTV-14,rtp://225.1.4.14:1043
CCTV-15,rtp://225.1.4.15:1044
CCTV-17,rtp://225.1.4.227:2507
CCTV4中文国际欧洲,rtp://225.1.5.31:1342
CCTV4中文国际美洲,rtp://225.1.5.32:1343
CGTN英语,rtp://225.1.5.34:1344
CGTN英文纪录,rtp://225.1.5.35:1345
CGTN西班牙语,rtp://225.1.5.36:1346
CGTN法语,rtp://225.1.5.37:1347
CGTN阿拉伯语,rtp://225.1.5.38:1348
CGTN俄语,rtp://225.1.5.39:1349
河南卫视,rtp://225.1.4.51:1080
浙江卫视,rtp://225.1.4.19:1048
东方卫视,rtp://225.1.4.22:1051
天津卫视,rtp://225.1.4.24:1053
安徽卫视,rtp://225.1.4.20:1049
山东卫视,rtp://225.1.4.27:1056
湖北卫视,rtp://225.1.4.35:1064
深圳卫视,rtp://225.1.4.23:1052
黑龙江卫视,rtp://225.1.4.28:1057
北京卫视,rtp://225.1.4.21:1050
湖南卫视,rtp://225.1.4.17:1046
江苏卫视,rtp://225.1.4.18:1047
广东卫视,rtp://225.1.4.30:1059
辽宁卫视,rtp://225.1.4.26:1055
爱体育高清,rtp://225.1.4.168:1220
高清纪实,rtp://225.1.4.170:1222
东南卫视,rtp://225.1.4.32:1061
贵州卫视,rtp://225.1.4.41:1070
河北卫视,rtp://225.1.4.34:1063
江西卫视,rtp://225.1.4.37:1066
四川卫视,rtp://225.1.4.40:1069
云南卫视,rtp://225.1.4.33:1062
重庆卫视,rtp://225.1.4.29:1058
吉林卫视,rtp://225.1.4.36:1065
大象新闻,rtp://225.1.5.45:1355
现场直播,rtp://225.1.5.42:1352
河南IPTV-导视,rtp://225.1.4.194:1244
河南卫视4K,rtp://225.1.4.254:1300
